title,text
"petebuttigieg","This is the most consequential election of our lifetimes—and we need the help of every American to begin to turn th… https://t.co/Nh5fmCyuVq"
"berniesanders","Today I'm proud to endorse @SDGeorgette, who will continue to be a strong advocate for real change as a member of C… https://t.co/RDZdzw1de6"
"berniesanders","I stand with @UNITEHERE_SoFla and call on @AmericanAir to give these workers the compensation and benefits that the… https://t.co/uqTnT188GK"
"berniesanders","The big money interests can run all the negative ads they want. It's not going to work. Our grassroots movement is… https://t.co/FUX0S0yQ3I"
"berniesanders","Tonight: join @janeosanders, @NaomiAKlein, @kendrick38, and @lascafeteras for a rally in Iowa City! RSVP here and f… https://t.co/glmuJ6U2JN"
"berniesanders","If young people come out and vote in high numbers, we can fundamentally transform this country."
"berniesanders","RT @JCisnerosTX: I'm so grateful to receive the endorsement of @BernieSanders, who's running a grassroots campaign to fight for working peo…"
"berniesanders","On day one of my administration we will repeal all of Trump’s racist immigration orders."
"berniesanders","Real change comes from the bottom on up, not the top on down. I'm proud to endorse @JCisnerosTX for Congress. Toget… https://t.co/PwQWrW9RPi"
"berniesanders","I am proud to be endorsed by @WDActionFund. Together, we will fight for working people across this country and buil… https://t.co/BJfQWuTgVE"
"berniesanders","RT @SusanSarandon: So unbelievably consistent. https://t.co/wrVsMIvcJp"
"berniesanders","RT @ariannaijones: it takes courage to stay the course. https://t.co/lniOUBUgJi"
"berniesanders","RT @fshakir: Steady, consistent convictions that you can trust when he's in the Oval Office https://t.co/dl7Vl16UQq"
"berniesanders","Trump’s trade deal is a giveaway to the fossil fuel industry and a disaster for the climate. As the only leading De… https://t.co/d9nlt71Bho"
"berniesanders","RT @robdelaney: Please watch. I love the “Not me, us” slogan but I do so sincerely hope this guy is our next president. https://t.co/Fy4AZC…"
"berniesanders","I will never stop fighting for the working people of this country. https://t.co/1V91xa638J"
"berniesanders","RT @NaomiAKlein: Today! https://t.co/acrdIPADw9"
"elizabethwarren","RT @TheDemList: DemDaily: Debate Download All you need to know for Tonight! https://t.co/brpJ3piZHd @DNC @DNCWomen @DNCWarRoom @dscc @dcccâ€¦"
"elizabethwarren","RT @PartisanPolly: @ElizabethWarren is telling truth about Republican's being beholden to gun lobby. You can tell by her tone and her bodyâ€¦"
"elizabethwarren","RT @ChipDestructo: well said @elizabethwarren #DemDebate"
"elizabethwarren","RT @ChipDestructo: Go @elizabethwarren - support the troops oppose the war #DemDebate"
"elizabethwarren","RT @rweingarten: .@elizabethwarren starts a discussion on immigration brilliantly. #demdebate"
"elizabethwarren","RT @_TimeTraveler33: @rweingarten @elizabethwarren Yes! I especially like the closing part. Help people in their countries instead of waitiâ€¦"
"elizabethwarren","RT @rdnayak: @elizabethwarren knocked it out of the park with her explanation of her child care plan â€“ to lift up children families and tâ€¦"
"elizabethwarren","RT @Evan_RB: Volunteering for @elizabethwarren at the #mountainviewartandwinefestival! Weâ€™ve got a plan...to elect Warren president in 2020â€¦"
"elizabethwarren","RT @itsstevenhudson: How 2020 Democratsâ€”From @ElizabethWarren To Pete Buttigiegâ€”Would End the HIV Epidemic https://t.co/uQYNcU68LC"
"elizabethwarren","RT @StachAnna: @Freedom4Horses @BLMUtah STOP THE SAFARI FOR THE HORSES!! STOP @BLMUtah  THE PREDATORSPLEASE!! @GovHerbert @realDonaldTrumpâ€¦"
"elizabethwarren","RT @brandyv_73: How does the Dems plan to eliminate fossil fuels accommodate the millions of classic car collectors (like me)?? I really waâ€¦"
"elizabethwarren","RT @eorlins: "You don't get what you don't fight for." Hell yes. I'm proud to support @elizabethwarren and hope you are too!! Show your suâ€¦"
"elizabethwarren","RT @StachAnna: @Freedom4Horses @BLMUtah @GovHerbert @realDonaldTrump @USCongress @USSenate @USSenateWatch @SenFeinstein @SpeakerPelosi @eliâ€¦"
"elizabethwarren","RT @M4WGeorgia: Calling all Warren democrats Georgia peaches and on the fence friends ðŸ“£ @elizabethwarren hits the debate stage this Thurâ€¦"
"elizabethwarren","RT @erniesfo: It was so good to see my friend @AdyBarkan and his family. Health care is a basic human rightâ€”and we fight for basic human riâ€¦"
"elizabethwarren","RT @feministcanuck: LOVIN' @ElizabethWarren's sass. https://t.co/ZOpCvKheXm"
"elizabethwarren","RT @fit4anyage: This is why @ElizabethWarren @BernieSanders and @therealDonaldTrump all fear #Andrewyang2020 https://t.co/ne9WKlKBwX"
"elizabethwarren","RT @lclord76: @sahilkapur @Linda_McMahon @BernieSanders @elizabethwarren Could be an untruth."
"elizabethwarren","RT @MKraidy: Trumpworld Anxiety Grows Over a Rising @ElizabethWarren https://t.co/TxbGOo1bwp"
"elizabethwarren","RT @smoneill01: @thedailybeast @elizabethwarren Because we all know who the problem is and it ainâ€™t Elizabeth Warren! Sheâ€™s the solution.â€¦"
"berniesanders","I’m honored to have the support of @UFCW21. Together we’re going to build a movement to create a political revoluti… https://t.co/jseRKqRxDp"
"berniesanders","Together we are going to bring out the largest voter turnout in history, defeat Trump, and transform this country.… https://t.co/3cx5VIWcGM"
"berniesanders","When workers organize to fight for fair wages and dignity, we all win. Congratulations to the members of… https://t.co/eUqID3IgDU"
"berniesanders","Trump has been attacking our campaign because he's getting nervous."
